model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_I1N61K.pt,14,57,57,3,1,0.11172,0.00057,0.13468749999999996
dwconv-bn-relu_prior_2VXUP0.pt,14,22,22,5,1,0.112112,0.000572,0.13497126
dwconv-bn-relu_prior_EA3VIS.pt,14,22,22,5,1,0.112112,0.000572,0.13477452
dwconv-bn-relu_prior_EVWG6M.pt,7,88,88,5,1,0.112112,0.002288,0.13164315999999998
dwconv-bn-relu_prior_MHO6OX.pt,7,88,88,5,1,0.112112,0.002288,0.1372485
dwconv-bn-relu_prior_SLM9TR.pt,7,88,88,5,1,0.112112,0.002288,0.13639637999999998
dwconv-bn-relu_prior_849RXD.pt,7,229,229,3,1,0.11221,0.00229,0.10850127999999999
dwconv-bn-relu_prior_8TDN9E.pt,7,89,89,5,1,0.113386,0.002314,0.13820775999999999
dwconv-bn-relu_prior_1IKIIW.pt,14,58,58,3,1,0.11368,0.00058,0.33057936
dwconv-bn-relu_prior_U817UC.pt,14,58,58,3,1,0.11368,0.00058,0.1348769
dwconv-bn-relu_prior_J8Y7P1.pt,7,232,232,3,1,0.11368,0.00232,0.12909619999999994
dwconv-bn-relu_prior_T8OX3N.pt,14,59,59,3,1,0.11564,0.00059,0.13927714000000002
dwconv-bn-relu_prior_QJWDCP.pt,14,59,59,3,1,0.11564,0.00059,0.30030298
dwconv-bn-relu_prior_3UHUWE.pt,7,92,92,5,1,0.117208,0.002392,0.14998004
dwconv-bn-relu_prior_00XCY7.pt,56,15,15,3,2,0.1176,0.00015,0.14147504000000002
dwconv-bn-relu_prior_DA0DQR.pt,28,60,60,3,2,0.1176,0.0006,0.14803007999999998
dwconv-bn-relu_prior_5FVBER.pt,7,243,243,3,1,0.11907,0.00243,0.13268580000000005
dwconv-bn-relu_prior_HUZI9U.pt,14,61,61,3,1,0.11956,0.00061,0.13584746
dwconv-bn-relu_prior_1J3AXB.pt,7,94,94,5,1,0.119756,0.002444,0.33988026
dwconv-bn-relu_prior_TWA0IX.pt,7,245,245,3,1,0.12005,0.00245,0.14147339999999997
dwconv-bn-relu_prior_NH0JJL.pt,7,245,245,3,1,0.12005,0.00245,0.38118166
