model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_HQGQLD.pt,112,499,499,2,2,1.7659895799999998
avgpool_prior_1W9UV5.pt,112,502,502,2,2,1.8353374
avgpool_prior_Y9V3M4.pt,224,491,491,3,2,5.466154720000002
avgpool_prior_DXW7EU.pt,56,231,231,2,2,0.7031941400000001
avgpool_prior_HTV50E.pt,112,194,194,3,2,1.51594434
avgpool_prior_XMP4D3.pt,112,180,180,2,2,1.4586321800000002
avgpool_prior_1Z74XY.pt,14,242,242,2,2,0.15891868
avgpool_prior_IOLRR0.pt,14,511,511,3,2,0.19133018000000004
avgpool_prior_9TZ1MP.pt,14,75,75,2,2,0.11184529999999998
avgpool_prior_VA8YN2.pt,112,500,500,2,2,1.6431576600000002
avgpool_prior_IBQV6V.pt,112,250,250,2,2,1.3326709200000009
avgpool_prior_AMGOQZ.pt,224,79,79,3,2,1.5364686000000003
avgpool_prior_KAGITE.pt,224,493,493,2,2,5.308142360000001
avgpool_prior_2BJX0N.pt,28,64,64,2,2,0.1331845
avgpool_prior_MPPBQU.pt,14,505,505,2,2,0.21782004000000008
avgpool_prior_1NO7OO.pt,56,525,525,2,1,1.5050570600000004
avgpool_prior_YB9M8E.pt,28,497,497,3,2,0.44948025999999996
avgpool_prior_4VUU42.pt,28,191,191,3,2,0.22329436000000005
avgpool_prior_VFC9A9.pt,224,74,74,2,2,1.5153586399999994
avgpool_prior_RX69ZR.pt,28,493,493,2,2,0.3992602800000001
avgpool_prior_6NUPWO.pt,14,836,836,3,2,0.22689465999999997
avgpool_prior_636MB8.pt,28,152,152,3,2,0.18886429999999998
avgpool_prior_8J64BR.pt,28,201,201,2,2,0.20972719999999995
avgpool_prior_LSV6D8.pt,112,132,132,3,1,1.6810929800000003
avgpool_prior_J6QOIK.pt,112,87,87,3,2,1.2277287000000003
avgpool_prior_JVYJL6.pt,224,474,474,2,2,4.873717700000001
avgpool_prior_N03LO5.pt,224,84,84,2,2,1.7269101000000004
avgpool_prior_YS7FFS.pt,28,45,45,3,2,0.11708327999999996
avgpool_prior_ZDXZEP.pt,14,53,53,3,2,0.08890936000000002
avgpool_prior_JLDR0C.pt,112,51,51,3,2,0.7252069199999999
avgpool_prior_YN8R45.pt,224,195,195,3,2,2.4441111
avgpool_prior_A331O7.pt,56,54,54,3,2,0.2778283599999999
avgpool_prior_NLBEPL.pt,28,192,192,2,2,0.20492432000000005
avgpool_prior_B71YNZ.pt,14,826,826,2,1,0.7508760799999997
avgpool_prior_6YC6Q2.pt,14,60,60,3,2,0.10398632000000001
avgpool_prior_FTCB4A.pt,56,236,236,2,2,0.6973304399999999
avgpool_prior_DD4LH2.pt,112,54,54,2,2,0.65173012
avgpool_prior_YOIVE5.pt,28,140,140,2,2,0.17925500000000003
avgpool_prior_4CKGZF.pt,28,844,844,3,2,1.04750416
avgpool_prior_0R8HDO.pt,28,513,513,3,1,1.1551202400000002
avgpool_prior_WMBBAJ.pt,28,242,242,3,2,0.41661806
