model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_prior_OYIVPI.pt,7,169,84,1,1,0.69972,0.01428,0.09469377999999995
conv-bn-relu_prior_6ULF0U.pt,8,247,180,1,2,0.71424,0.04464,0.10775194
conv-bn-relu_prior_ZKFU2A.pt,28,7,21,5,2,0.724416,0.003696,0.11996959999999998
conv-bn-relu_prior_9G06WG.pt,14,19,189,1,1,0.74088,0.00378,0.21542637999999997
conv-bn-relu_prior_HXRITG.pt,28,7,475,1,2,0.7448,0.0038,0.15160343999999998
conv-bn-relu_prior_LSAQTW.pt,14,761,20,1,2,0.74676,0.01524,0.17192754000000002
conv-bn-relu_prior_HBG3J7.pt,13,27,159,1,1,0.752388,0.004452,0.12141622
conv-bn-relu_prior_ILMNUY.pt,3,122,14,7,1,0.753354,0.083706,0.13375746
conv-bn-relu_prior_EM1A6V.pt,14,149,103,1,2,0.75705,0.01545,0.14302146000000002
conv-bn-relu_prior_FJE49B.pt,8,29,396,1,1,0.76032,0.01188,0.11024244000000001
conv-bn-relu_prior_O3CLD8.pt,14,189,82,1,2,0.76342,0.01558,0.19664095999999998
conv-bn-relu_prior_FXJ90Z.pt,14,101,153,1,2,0.764694,0.015606,0.15078793999999998
conv-bn-relu_prior_6YQTNA.pt,13,42,12,3,1,0.768612,0.004548,0.25147748
conv-bn-relu_prior_GQ1D50.pt,14,22,175,1,1,0.7889,0.004025,0.13404047999999996
conv-bn-relu_prior_35LNUO.pt,56,41,6,1,1,0.790272,0.000252,0.16848016000000005
conv-bn-relu_prior_LS6MGV.pt,14,29,135,1,1,0.7938,0.00405,0.12981712
conv-bn-relu_prior_XIRJIF.pt,3,487,182,1,1,0.799344,0.088816,0.10626687999999998
conv-bn-relu_prior_3PAZ5U.pt,14,63,64,1,1,0.802816,0.004096,0.09962496000000005
conv-bn-relu_prior_R1NPO7.pt,13,196,97,1,2,0.80735525,0.019109,0.14521056000000002
conv-bn-relu_prior_812PHA.pt,1,1700,478,1,1,0.813078,0.813078,0.08626287999999997
conv-bn-relu_prior_J1XPJL.pt,14,23,173,1,1,0.813792,0.004152,0.13536488
conv-bn-relu_prior_OZVUY6.pt,13,171,28,1,1,0.813904,0.004816,0.22023757999999993
conv-bn-relu_prior_EPZJSX.pt,14,17,231,1,1,0.814968,0.004158,0.06487194000000002
