model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_KRUJ1I.pt,112,513,513,2,2,0.004427180000000002
avgpool_prior_Z1PW3I.pt,112,826,826,2,2,0.00474582
avgpool_prior_DTZGDO.pt,14,502,502,3,2,0.00490408
avgpool_prior_KQ3H38.pt,112,62,62,3,2,0.00448518
avgpool_prior_NXUNIN.pt,28,187,187,3,2,0.0044827600000000006
avgpool_prior_M52KP6.pt,14,204,204,2,2,0.0044824999999999995
avgpool_prior_QYJGSY.pt,28,51,51,3,2,0.00444806
avgpool_prior_87YJ8S.pt,224,236,236,3,1,0.0046156800000000005
avgpool_prior_X2B791.pt,14,70,70,2,2,0.0044881600000000015
avgpool_prior_EFHFTN.pt,28,137,137,3,2,0.0044513
avgpool_prior_MSDS3S.pt,14,183,183,3,2,0.0045227
avgpool_prior_UK27RU.pt,112,497,497,2,2,0.00444726
avgpool_prior_CA92TW.pt,28,64,64,2,1,0.0045586199999999985
avgpool_prior_ERU8O1.pt,14,512,512,3,2,0.00445926
avgpool_prior_OFN2QY.pt,14,512,512,3,2,0.00445008
avgpool_prior_3NB5HF.pt,112,75,75,3,2,0.004435979999999999
avgpool_prior_1MAC33.pt,14,30,30,2,2,0.00444516
avgpool_prior_QVEGIH.pt,14,490,490,2,2,0.0045051399999999995
avgpool_prior_JBDE6E.pt,14,50,50,3,2,0.0045236600000000005
avgpool_prior_QIROQ1.pt,14,69,69,2,2,0.004554000000000001
avgpool_prior_G5U31C.pt,14,74,74,3,2,0.004493560000000001
avgpool_prior_THMSRL.pt,112,150,150,2,1,0.004414279999999999
avgpool_prior_1PDUO2.pt,112,504,504,3,1,0.004468860000000002
avgpool_prior_CTUOUY.pt,112,843,843,2,2,0.004512259999999999
avgpool_prior_FBH998.pt,14,232,232,3,2,0.004518659999999999
avgpool_prior_M508BJ.pt,112,489,489,2,2,0.0044361600000000015
avgpool_prior_LHEON6.pt,112,135,135,3,1,0.0044135400000000005
avgpool_prior_75E68K.pt,14,56,56,3,2,0.00440754
avgpool_prior_HF74R0.pt,14,64,64,3,1,0.004558660000000001
avgpool_prior_MIKNJR.pt,28,833,833,3,2,0.00442414
avgpool_prior_K4UCBN.pt,56,496,496,3,2,0.00441966
avgpool_prior_T2OEGR.pt,56,136,136,2,2,0.004568119999999999
avgpool_prior_TOD7B1.pt,14,500,500,2,2,0.0044502199999999995
avgpool_prior_E35ZKV.pt,14,500,500,2,2,0.00450762
avgpool_prior_P77K5D.pt,14,496,496,3,2,0.004554959999999999
avgpool_prior_EC9GSX.pt,56,57,57,2,2,0.00439246
avgpool_prior_0IA5L4.pt,56,90,90,3,1,0.00448202
avgpool_prior_EDO86H.pt,14,485,485,2,1,0.004403280000000001
avgpool_prior_QUQ6FV.pt,56,500,500,3,2,0.00441768
avgpool_prior_BDC3X6.pt,112,62,62,2,2,0.004449159999999997
avgpool_prior_9KRR3P.pt,112,188,188,2,2,0.00429742
avgpool_prior_ZWZZNT.pt,28,33,33,3,2,0.004461939999999999
avgpool_prior_53BI2K.pt,112,471,471,2,2,0.004444299999999999
avgpool_prior_74GFOM.pt,14,201,201,2,2,0.004437520000000001
avgpool_prior_Q2988Q.pt,112,1053,1053,2,2,0.004481880000000001
avgpool_prior_XE0WDQ.pt,14,146,146,2,2,0.00440678
avgpool_prior_KP078A.pt,224,66,66,2,1,0.004440540000000001
avgpool_prior_BRUNQN.pt,112,483,483,3,2,0.0043697999999999975
avgpool_prior_3MDQPH.pt,56,834,834,2,2,0.004418119999999999
avgpool_prior_65HEHG.pt,14,849,849,2,2,0.004483
avgpool_prior_8BAIIH.pt,14,54,54,2,2,0.00447342
avgpool_prior_2JFRY0.pt,14,502,502,2,2,0.004435699999999999
avgpool_prior_JLVOGU.pt,14,183,183,3,2,0.0044250999999999995
avgpool_prior_156E1O.pt,56,480,480,3,2,0.0045026400000000005
avgpool_prior_VUAAH5.pt,112,71,71,2,2,0.00444324
avgpool_prior_KIIAI4.pt,56,238,238,3,2,0.0043608200000000005
avgpool_prior_Y0Z1I0.pt,14,493,493,3,1,0.004427479999999999
avgpool_prior_CZXSM7.pt,112,231,231,3,2,0.004442379999999998
avgpool_prior_4HTVHY.pt,28,509,509,2,2,0.004462559999999997
avgpool_prior_JKUCOE.pt,14,59,59,2,1,0.0044538400000000014
avgpool_prior_RAS80C.pt,14,512,512,2,2,0.004454840000000001
avgpool_prior_V1WFLV.pt,112,178,178,3,2,0.00443068
