model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_Z8LZJ0.pt,1843,1000,1.8435,3.687,0.055968939999999995
fc_prior_X1BGO8.pt,1851,1000,1.8515,3.703,0.05278312
fc_prior_W5FOK2.pt,1854,1000,1.8545,3.709,0.05322685999999998
fc_prior_LLJ3CW.pt,1856,1000,1.8565,3.713,0.05312248
fc_prior_YJ926Y.pt,1858,1000,1.8585,3.717,0.05557514000000001
fc_prior_QYJU6M.pt,1865,1000,1.8655,3.731,0.05247954000000002
fc_prior_ZYGJ3S.pt,1866,1000,1.8665,3.733,0.052636759999999984
fc_prior_RY0LME.pt,1867,1000,1.8675,3.735,0.05326991999999999
fc_prior_UXMHMZ.pt,1872,1000,1.8725,3.745,0.05285548
fc_prior_O6NV9G.pt,1881,1000,1.8815,3.763,0.05492973999999999
fc_prior_UE17IT.pt,1881,1000,1.8815,3.763,0.057286260000000006
fc_prior_RXH5JF.pt,1884,1000,1.8845,3.769,0.05436606
fc_prior_C7D3D8.pt,1890,1000,1.8905,3.781,0.05564636000000001
fc_prior_JKDZUK.pt,1890,1000,1.8905,3.781,0.05484057999999999
fc_prior_OZ21MI.pt,1892,1000,1.8925,3.785,0.05414068
fc_prior_JJGAYT.pt,1901,1000,1.9015,3.803,0.051519640000000005
fc_prior_OEUNCR.pt,1901,1000,1.9015,3.803,0.0097633
fc_prior_XNUSXS.pt,1902,1000,1.9025,3.805,0.056285199999999994
fc_prior_441TCR.pt,1902,1000,1.9025,3.805,0.057801759999999994
fc_prior_XYLFN0.pt,1903,1000,1.9035,3.807,0.03671588
fc_prior_AZP9ZA.pt,1905,1000,1.9055,3.811,0.0529188
fc_prior_0NQA07.pt,1906,1000,1.9065,3.813,0.05573694000000001
fc_prior_29GFOT.pt,1909,1000,1.9095,3.819,0.056967399999999994
fc_prior_R2G4T4.pt,1913,1000,1.9135,3.827,0.05289589999999999
fc_prior_9GTE7F.pt,1915,1000,1.9155,3.831,0.051452819999999996
fc_prior_7Z7ZSK.pt,1915,1000,1.9155,3.831,0.04893066000000001
fc_prior_YPZO94.pt,1917,1000,1.9175,3.835,0.04686378
fc_prior_ETOG9J.pt,1922,1000,1.9225,3.845,0.04890704000000001
fc_prior_AXKB2U.pt,1937,1000,1.9375,3.875,0.053352399999999994
fc_prior_7NTIH6.pt,1939,1000,1.9395,3.879,0.05569509999999999
fc_prior_W21TC4.pt,1945,1000,1.9455,3.891,0.05389076
fc_prior_ZYSBMZ.pt,1955,1000,1.9555,3.911,0.05467941999999997
fc_prior_QKNESO.pt,1960,1000,1.9605,3.921,0.05580729999999999
fc_prior_YJ3HTT.pt,1965,1000,1.9655,3.931,0.05145929999999999
fc_prior_MFDOBA.pt,1968,1000,1.9685,3.937,0.05423890000000001
fc_prior_J27GY6.pt,1968,1000,1.9685,3.937,0.05571136000000001
fc_prior_KFTANB.pt,1970,1000,1.9705,3.941,0.05341476
fc_prior_TTJASM.pt,1974,1000,1.9745,3.949,0.054705319999999974
fc_prior_7UK3OC.pt,1977,1000,1.9775,3.955,0.051879499999999995
fc_prior_1FIRYP.pt,1980,1000,1.9805,3.961,0.05529187999999999
fc_prior_Q703OJ.pt,1984,1000,1.9845,3.969,0.056464
fc_prior_6HUM5F.pt,1990,1000,1.9905,3.981,0.053117100000000014
fc_prior_JS171M.pt,1993,1000,1.9935,3.987,0.04289185999999999
fc_prior_Q9QFIM.pt,1994,1000,1.9945,3.989,0.05263000000000002
fc_prior_C7R4HM.pt,1995,1000,1.9955,3.991,0.05330742
fc_prior_6FJHQV.pt,2001,1000,2.0015,4.003,0.0546191
fc_prior_YGDXD0.pt,2001,1000,2.0015,4.003,0.05322962
fc_prior_MNG10R.pt,2003,1000,2.0035,4.007,0.055188160000000014
fc_prior_T9KJC6.pt,2003,1000,2.0035,4.007,0.055599520000000006
fc_prior_40RITZ.pt,2005,1000,2.0055,4.011,0.05540610000000001
fc_prior_VQJPIR.pt,2006,1000,2.0065,4.013,0.056588019999999996
fc_prior_4GG5DD.pt,2006,1000,2.0065,4.013,0.05457589999999998
fc_prior_80GCU8.pt,2011,1000,2.0115,4.023,0.05411991999999999
fc_prior_JSWXQG.pt,2018,1000,2.0185,4.037,0.05437101999999999
fc_prior_IZYXDU.pt,2024,1000,2.0245,4.049,0.053321679999999996
fc_prior_YL81Y8.pt,2031,1000,2.0315,4.063,0.05631337999999999
fc_prior_MJ9QS8.pt,2035,1000,2.0355,4.071,0.05381245999999999
fc_prior_KKAU5L.pt,2036,1000,2.0365,4.073,0.05233269999999999
fc_prior_9QNVX6.pt,2036,1000,2.0365,4.073,0.05521654
fc_prior_382X7E.pt,2046,1000,2.0465,4.093,0.05421228000000001
fc_prior_38WL0S.pt,2048,1000,2.0485,4.097,0.05356755999999998
fc_prior_KQ5O6G.pt,2048,1000,2.0485,4.097,0.0556144
fc_prior_IQMYLC.pt,2048,1000,2.0485,4.097,0.05790688
fc_prior_KVE3BH.pt,2053,1000,2.0535,4.107,0.05413692000000001
fc_prior_UCM8HZ.pt,2058,1000,2.0585,4.117,0.05544681999999999
fc_prior_SJSA3V.pt,2060,1000,2.0605,4.121,0.052722620000000005
fc_prior_NAJEFQ.pt,2061,1000,2.0615,4.123,0.054978700000000005
fc_prior_92JSNZ.pt,2062,1000,2.0625,4.125,0.053033440000000015
fc_prior_EQ94D8.pt,2067,1000,2.0675,4.135,0.0535165
fc_prior_IE7Q2N.pt,2069,1000,2.0695,4.139,0.043656299999999995
fc_prior_2NK27H.pt,2073,1000,2.0735,4.147,0.05079668
fc_prior_LC9134.pt,2073,1000,2.0735,4.147,0.05245960000000001
fc_prior_R5I122.pt,2077,1000,2.0775,4.155,0.05256231999999999
fc_prior_E76KYO.pt,2078,1000,2.0785,4.157,0.04946500000000001
fc_prior_7542L8.pt,2083,1000,2.0835,4.167,0.051955740000000014
fc_prior_7D8820.pt,2084,1000,2.0845,4.169,0.05064478
fc_prior_S67VT2.pt,2086,1000,2.0865,4.173,0.05084726
